sheet,table,range,column_index,excel_column,field_name,classification,inferred_type,formula_count,value_count,error_count,sample_values,formula_signatures,confidence,required,web_mapping,validation,source_status
DSHV,T_HV,E4:BU427,4,H,Ngay nhap,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,5,I,Ngay nghi,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,6,J,Lí do nghỉ,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,7,K,DanhGia,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,8,L,HP tồn,CALCULATED,number/Excel serial,423,423,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,9,M,Column4,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,10,N,Column5,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,11,O,Column3,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,12,P,MaSo,CALCULATED,text,423,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,13,Q,Tình trạng học,CALCULATED,text,423,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,14,R,Sđt,CALCULATED,text,423,423,423,#N/A,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,15,S,Column2,CALCULATED,text,423,423,423,#N/A,1,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,16,T,TenHV&MaSo,CALCULATED,text,423,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,17,U,Ho ten,CALCULATED,number/Excel serial,423,423,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,18,V,MaHV,CALCULATED,text,423,423,0,3-,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,19,W,TenHV&MaHV,CALCULATED,text,423,423,0,.3-,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,20,X,Tháng sinh nhật,CALCULATED,date/datetime (xác minh),423,423,0,1,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,21,Y,HocPhi/Buoi,CALCULATED,text,423,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,22,Z,Tinh trang HP,CALCULATED,text,423,423,0,Đóng đủ,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,23,AA,Tháng học,CALCULATED,date/datetime (xác minh),423,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
